,0
Barrington,0.014963575506989565
Bristol,0.022703849017919112
Burrillville,0.015080169082683545
Central Falls,0.01708645853613466
Charlestown,0.007569782904961937
Coventry,0.03326216725458427
Cranston,0.0769792584428598
Cumberland,0.03164635628576865
East Greenwich,0.012244525326654501
East Providence,0.045177810702630286
Exeter,0.006236656360234551
Foster,0.004423956240011176
Glocester,0.009359384297925185
Hopkinton,0.007749073026076263
Jamestown,0.005288508603175965
Johnston,0.027820767075734127
Lincoln,0.020054095019364435
Little Compton,0.003390013210272114
Middletown,0.015150565203857267
Narragansett,0.015954620900388388
New Shoreham,0.0010350429691324008
Newport,0.024046875017186553
North Kingstown,0.024907027622777984
North Providence,0.03141976877074073
North Smithfield,0.011531764599770553
Pawtucket,0.06599636360036562
Portsmouth,0.01651229017281148
Providence,0.16529779209165574
Richmond,0.007191403753653174
Scituate,0.00994345211578842
Smithfield,0.021196932049044097
South Kingstown,0.030106441135093455
Tiverton,0.01530015696135143
Warren,0.010266834297430211
Warwick,0.07997219353213637
West Greenwich,0.005757082784738561
West Warwick,0.027821867015127465
Westerly,0.021716103442700307
Woonsocket,0.03783901507026963
