"","od_death_2024","od_death_2025","od_death_2026","Barrington","Bristol","Burrillville","Central.Falls","Charlestown","Coventry","Cranston","Cumberland","East.Greenwich","East.Providence","Exeter","Foster","Glocester","Hopkinton","Jamestown","Johnston","Lincoln","Little.Compton","Middletown","Narragansett","New.Shoreham","Newport","North.Kingstown","North.Providence","North.Smithfield","Pawtucket","Portsmouth","Providence","Richmond","Scituate","Smithfield","South.Kingstown","Tiverton","Warren","Warwick","West.Greenwich","West.Warwick","Westerly","Woonsocket"
"1",345,308,308,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"2",354,346,345,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"3",326,309,324,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"4",321,304,325,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"5",284,272,270,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"6",307,313,352,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"7",423,389,432,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"8",378,372,372,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"9",389,402,458,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"10",326,323,352,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
