,od_death_2026,Barrington,Bristol,Burrillville,Central.Falls,Charlestown,Coventry,Cranston,Cumberland,East.Greenwich,East.Providence,Exeter,Foster,Glocester,Hopkinton,Jamestown,Johnston,Lincoln,Little.Compton,Middletown,Narragansett,New.Shoreham,Newport,North.Kingstown,North.Providence,North.Smithfield,Pawtucket,Portsmouth,Providence,Richmond,Scituate,Smithfield,South.Kingstown,Tiverton,Warren,Warwick,West.Greenwich,West.Warwick,Westerly,Woonsocket
85,342.26,633.67668244929,1184.73706551464,856.002023236237,997.837039308612,521.094141352198,1408.82002430585,3933.20258401536,2082.90462487004,479.956150670307,2191.55870773203,184.808524527255,96.3127972407973,362.816628326794,680.566797861019,529.264621266578,1646.68583503402,1292.19635420938,328.001826343052,703.190558421663,1079.08726508183,0.0434221271700808,1420.18680326956,1136.13051636421,1660.75189707206,384.218551508494,3365.61709362534,903.853291023012,6736.33733548529,361.576221235946,558.366683293248,1177.2085827219,1543.77302405032,709.628787620891,489.744133301583,3813.9059772671,224.635990802421,1626.6398839501,904.654289338848,1790.00726417555
61,342.52,627.614942593867,1171.52460513314,901.09061662973,1036.57906104626,596.042655785585,1452.07865027833,3993.26422819475,2214.80509403868,419.035832896028,2228.46596037738,162.203148924583,1.06801686661215,295.299357649317,720.010014319699,488.44531273306,1612.07927212022,1313.18751428212,338.375190913723,770.096570241915,1132.89690105249,0.0929082186272074,1528.96600950592,965.204191459091,1674.88937781148,386.691463107857,3476.06771764137,928.882931018836,6492.04214301746,298.978861901008,572.822534834808,1146.91648966756,1670.40425831222,624.007704489614,272.02787523481,3712.60110552314,256.032434136258,1681.05319194985,964.204376441112,1873.9514799767
39,342.55,628.700249804163,1137.7495356138,899.606233415396,1063.17033518588,564.672374388527,1303.04917276855,4173.36213753397,2162.72526277228,379.013905306943,2213.60396795804,176.292054437811,2.85102335743053,296.493969929342,727.618927268328,519.015185501635,1602.17314636182,1305.52855081736,332.771967824824,762.41366345752,1067.18435397996,0.0570054325152161,1517.91776152199,995.873129716273,1722.42621880318,358.513683936948,3602.65085751326,879.652469787375,6534.14565232475,327.629466070196,537.150114046447,1122.37927361005,1478.45922411369,648.252680405821,360.045190880703,3774.2297936445,270.622491488192,1697.65394601368,945.096039898707,1909.2489830238
14,342.57,627.652872120168,1181.99794577405,930.532241733831,1003.05651724578,476.268466737235,1498.5440714111,3849.9609830843,2157.10148111157,480.659420438961,2127.77823902226,209.887697048459,55.183326703712,305.249500214904,689.971500578084,549.629254008271,1563.89982885059,1241.38178449709,301.638910667308,700.296506366024,1145.93241603041,0.0519135475376265,1493.93503119207,1021.19408768531,1598.67635425639,424.880788063097,3508.55365356556,907.267127802708,6861.58009072355,351.112195497055,498.719589502406,1194.29483074588,1612.6408512401,622.010893813509,357.491871147635,3893.51552299961,230.409862103049,1691.80024887837,857.935906484943,1777.30621710712
2,342.59,660.246173309044,1170.69694298414,826.441907188823,957.187772746815,401.328762781115,1271.87393975102,4099.83764474899,2211.34490839467,461.371479659658,2106.05498578564,209.089827761687,23.6681843736155,327.661975651123,669.554308257984,522.547663102059,1558.94544439429,1247.95240722338,308.637966128751,704.137643197104,1031.55592791361,0.0412716766575553,1535.98844251735,1043.67658708297,1705.34960888099,355.771729650729,3475.1870763047,902.834936841408,7272.72951203674,377.953764298828,524.800631997362,1178.49251384405,1591.81906900585,654.376262661267,362.778119485802,3586.38941840267,200.961959245603,1664.44139797003,886.101956775243,1910.16987596823
54,342.68,579.166946314395,1143.80552346058,877.368500387735,1013.5628756337,537.381968203876,1402.55066946928,3963.36771843167,2219.14381653718,432.789880107556,2182.31916314799,181.932346277256,5.40202242615754,316.990000650375,714.90994695762,483.252379008383,1608.82918085465,1292.82753893836,325.94500899625,744.16156627064,1143.83710468459,0.172303425674133,1543.84194432141,1029.04577496647,1633.94435144634,451.641198328758,3468.37719698113,907.551278318746,6581.79416445878,322.334275060667,532.967796363629,1111.95503400528,1650.03385321845,646.692282828036,399.063982386562,3946.86693694402,238.032182249939,1631.79013834982,893.439786678378,1840.91136290536
63,342.71,609.029277487126,1126.40596382479,899.02910987879,1065.32536913557,584.644564843905,1359.02105425756,4071.44573832367,2137.4126559161,380.003648374482,2181.32639808665,167.680121523179,1.59467967781295,297.293789729411,737.158504042261,511.987686416874,1599.25631108766,1276.46698930433,318.21932563302,767.474974263493,1099.94635348883,0.136199366170592,1503.76619759589,973.345676683711,1688.14972089515,378.784328153294,3588.69463279233,900.043593140684,6549.72581405058,335.64331835634,546.969424940148,1082.41733913971,1493.69030699037,646.756722324938,381.508140883194,3986.90279608419,270.49558802467,1673.16342318223,939.764239132897,1869.32002294396
41,342.83,590.116464660784,1141.77406803331,909.948409593182,1020.59819398664,536.326378528103,1400.66179698056,4001.95036837753,2192.23451603557,436.101050858142,2190.73304164445,192.651425433928,1.58087257670872,306.011720617163,714.73427721121,487.703377267483,1612.08485983409,1298.35574734655,323.92352235802,736.518252725284,1129.50475362725,0.0569759057465326,1529.70396392601,1026.45354506115,1651.69596434418,434.751111280742,3481.94276752061,897.6160067901,6570.76686896154,325.056818873201,532.608016879142,1112.82144417138,1617.12904411658,631.338352118857,391.985522944414,3905.6456471294,247.120276472795,1655.08187647643,900.36839534075,1864.34430399097
28,342.88,624.104172680069,1157.82730940668,881.842083467014,1055.25223636608,538.856278816802,1371.5324378429,4010.73410287153,2183.57646813859,347.860494053653,2227.43129092269,151.156118740088,12.5191823532989,318.187043263756,724.582841417372,551.567801520365,1538.33799675385,1259.17877189279,299.592621892121,754.67263127315,1061.49727152933,0.0822025065913466,1521.61071399978,976.983638315382,1706.78964635455,355.104860704922,3657.89168171288,936.869673019643,6869.57234104918,375.460899507891,522.605914318105,1170.2837852823,1373.2704704001,646.233703683907,347.131171044163,3829.66521239483,221.10257363455,1674.47702579806,918.660609114172,1825.89472176222
82,342.88,631.1473752711,1141.939077109,905.750470451011,1076.72540348963,560.005391699704,1315.48281394007,4133.99153513299,2130.91300281234,364.908978765871,2201.09516944768,175.541010367293,12.2978450353044,289.75216457132,739.349486192746,531.20023542666,1601.59553892439,1292.14986503635,320.853545974205,768.714072271833,1099.47104534955,0.0100990095726835,1528.03662579754,965.205319578475,1706.84147764644,357.924243713034,3621.68821860962,880.12278899524,6539.57557963324,321.560028355001,534.232202510426,1115.93963467623,1471.18104702227,645.490971415211,359.644389424694,3870.26031471432,274.827069078999,1695.95726077993,943.365212488243,1875.2534892786
