,Barrington,Bristol,Burrillville,Central Falls,Charlestown,Coventry,Cranston,Cumberland,East Greenwich,East Providence,Exeter,Foster,Glocester,Hopkinton,Jamestown,Johnston,Lincoln,Little Compton,Middletown,Narragansett,New Shoreham,Newport,North Kingstown,North Providence,North Smithfield,Pawtucket,Portsmouth,Providence,Richmond,Scituate,Smithfield,South Kingstown,Tiverton,Warren,Warwick,West Greenwich,West Warwick,Westerly,Woonsocket
0,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
1,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
2,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
3,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
4,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
5,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
6,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
7,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
8,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
9,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
