"","od_death_2024","od_death_2025","od_death_2026","Barrington","Bristol","Burrillville","Central.Falls","Charlestown","Coventry","Cranston","Cumberland","East.Greenwich","East.Providence","Exeter","Foster","Glocester","Hopkinton","Jamestown","Johnston","Lincoln","Little.Compton","Middletown","Narragansett","New.Shoreham","Newport","North.Kingstown","North.Providence","North.Smithfield","Pawtucket","Portsmouth","Providence","Richmond","Scituate","Smithfield","South.Kingstown","Tiverton","Warren","Warwick","West.Greenwich","West.Warwick","Westerly","Woonsocket"
"1",366,314,324,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"2",376,358,362,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"3",331,344,341,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"4",316,326,342,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"5",309,294,293,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"6",324,338,356,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"7",425,411,440,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"8",395,370,402,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"9",390,421,479,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"10",342,352,362,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"11",261,298,307,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"12",311,352,353,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"13",257,337,289,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"14",391,394,393,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"15",292,291,329,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"16",313,313,330,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"17",414,414,431,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"18",343,313,357,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"19",367,342,370,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"20",323,365,393,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"21",351,396,352,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"22",319,378,376,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"23",328,333,362,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"24",323,338,343,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"25",407,384,390,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"26",220,228,262,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"27",365,402,327,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"28",336,395,382,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"29",341,367,389,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
